Index,Product_M2M,PartNum_Comp,PartNumber_BOM_BOM,Match,Component,Component_Description,End of Prod,Status,Life__Years,EOSL,flag_raise_in_gp,Remark,MCCB or MCSW,Input CB,AMP Trip,kAIC @ Voltage,"Rated, Trip",kVA,MFR,drop,date_greater_than,change_component_to,change_status_to,change_life_years_to,change_eosl_to
2,,PCB09647:Monochrome Display,PCB09647,contains,Monochrome Display,,,Active,10,,TRUE,,,,,,,,,,1/1/2015,Color Display,,,
2,,MOD11304:Monochrome Display,MOD11304,contains,Monochrome Display,PCB09507,,,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD69988:Monochrome Display,MOD69988,contains,Monochrome Display,PCB11556,,,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD70559:Monochrome Display,MOD70559,contains,Monochrome Display,PCB11556,,,,2022,TRUE,,,,,,,,,,,,,,
2,,PCB15632:Monochrome Display,PCB15632,contains,Monochrome Display,,,Active,10,,TRUE,,,,,,,,,,1/1/2015,Color Display,,,
2,,PCB11555:Monochrome Display,PCB11555,contains,Monochrome Display,,,Obsolete,10,,TRUE,,,,,,,,,,1/1/2015,Color Display,,,
2,,PBA08555:Wavestar Display,PBA08555,contains,Wavestar Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,PCB08553:Wavestar Display,PCB08553,contains,Wavestar Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD 100:BCMS,MOD 100,exact,BCMS,MOD ROUTING TEMPLATE,,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD/LC/125-255KVA:BCMS,MOD/LC/125-255KVA,exact,BCMS,PARTS NEEDED FOR (MED-X)125-225 KVA,,Obsolete,10,,TRUE,,,,,,,,,,,,,,
3,,MOD/LC/30-100:BCMS,MOD/LC/30-100,exact,BCMS,PARTS NEEDED FOR (MED-X)30-100 KVA,,Obsolete,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000004-BK00:BCMS,MOD000004-BK00,exact,BCMS,"KIT, BOTT SKIRT 50"" , STS-E,VENTED",,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000004-WH00:BCMS,MOD000004-WH00,exact,BCMS,"KIT, BOTT SKIRT 50"" , STS-E,VENTED",,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000041-BK00:BCMS,MOD000041-BK00,exact,BCMS,"MOD, CONTROL BOX ASSY, INFINITY,PP2",,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000047:BCMS,MOD000047,exact,BCMS,DOUBLE STACK INS+BUS,,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000048:BCMS,MOD000048,exact,BCMS,SINGLE STACK INS+BUS,,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000059:BCMS,MOD000059,exact,BCMS,"PWS20260.PCB11734,(2)PCB56557",,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000063-WH00:BCMS,MOD000063-WH00,exact,BCMS,SF BCMS - MAINS/SUBFEEDS,,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000105-BK00:BCMS,MOD000105-BK00,exact,BCMS,"RPP,WAVESTAR,EPO",,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000105-WH00:BCMS,MOD000105-WH00,exact,BCMS,"RPP,WAVESTAR,EPO",,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000108:BCMS,MOD000108,exact,BCMS,EATON RPP PWS,,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000144:BCMS,MOD000144,exact,BCMS,TRENDPOINT 8CT BRANCH MONITOR,,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000145:BCMS,MOD000145,exact,BCMS,TRENDPOINT 6CT BRANCH KIT,,Obsolete,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000146:BCMS,MOD000146,exact,BCMS,TRENDPOINT 3CT BRANCH KIT,,Obsolete,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000151-BK00:BCMS,MOD000151-BK00,exact,BCMS,"KIT, BOTT SKIRT 50"" , STS-E,SOLID",,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000151-WH00:BCMS,MOD000151-WH00,exact,BCMS,"KIT, BOTT SKIRT 50"" , STS-E,SOLID",,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000164:BCMS,MOD000164,exact,BCMS,"800A RPP BKT,INS,BUS ASM",,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000166-BK00:BCMS,MOD000166-BK00,exact,BCMS,"RPP,84P,DOR,TRENDPOINT",,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000166-WH00:BCMS,MOD000166-WH00,exact,BCMS,"RPP,84P,DOR,TRENDPOINT",,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000168-BK00:BCMS,MOD000168-BK00,exact,BCMS,"ETN,DF,PD3,2CKB,2PNB,400A",,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD000168-WH00:BCMS,MOD000168-WH00,exact,BCMS,"ETN,DF,PD3,2CKB,2PNB,400A",,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD01341-1P:BCMS,MOD01341-1P,exact,BCMS,"DIN KIT,1S,PS,RPP",,Obsolete,10,,TRUE,,,,,,,,,,,,,,
3,,MOD01341-2P:BCMS,MOD01341-2P,exact,BCMS,"DIN KIT,2S,PS,RPP",,Obsolete,10,,TRUE,,,,,,,,,,,,,,
3,,MOD01341-3P:BCMS,MOD01341-3P,exact,BCMS,"DIN KIT,3S,PS,RPP",,Obsolete,10,,TRUE,,,,,,,,,,,,,,
3,,MOD01341-4P:BCMS,MOD01341-4P,exact,BCMS,"DIN KIT,4S,PS,RPP",,Obsolete,10,,TRUE,,,,,,,,,,,,,,
3,,MOD0154:BCMS,MOD0154,exact,BCMS,"EATON 1300 SERIES KIT, NO ET",,Obsolete,10,,TRUE,,,,,,,,,,,,,,
3,,MOD0156:BCMS,MOD0156,exact,BCMS,EATON 1300 SERIES REMOTE DISPLAY,,Obsolete,10,,TRUE,,,,,,,,,,,,,,
3,,MOD02527:BCMS,MOD02527,exact,BCMS,CONTACTOR MODULE,,Obsolete,10,,TRUE,,,,,,,,,,,,,,
3,,MOD02936:BCMS,MOD02936,exact,BCMS,CKB ASSEMBLY 2 X 800A+/SW800A,,Obsolete,10,,TRUE,,,,,,,,,,,,,,
3,,MOD03051:BCMS,MOD03051,exact,BCMS,RENUMBERED TO PCB03291B,,Active,10,,TRUE,,,,,,,,,,,,,,
3,,MOD03205:BCMS,MOD03205,exact,BCMS,RENUMBERED TO MOD04457A,,Active,10,,TRUE,,,,,,,,,,,,,,
