Part_Number,Product,Description,Type
CKB57157                 ,PDU - other,"3P,400A,18k/600V,SQ",OTHER
CKB57157T                ,OTHER,"TEST,3P,400A,18K/60",OTHER
CKB57181                 ,OTHER,400A LDP36400U33X 2,OTHER
CKB57843                 ,OTHER,"SHNT TRIP,H/J-FRM,S",OTHER
CKB66011                 ,Spare Parts,"SQD, LSI CKB MICROL",OTHER
CKB66028                 ,OTHER,"3P,400A,65KA,480V,S",OTHER
CKB66228                 ,OTHER,"AUX,3P,T5,600V,600A",OTHER
CKB66739                 ,Spare Parts,"3P,800A,50KA,600V,S",OTHER
CKB70406                 ,Upgrade,"3P,60A,35KA,480V,SQ",OTHER
CKB72172                 ,Spare Parts,"MAGNUM DS BREAKER, ",OTHER
CKBP0507T                ,OTHER,"3P600VAC,1200AF\800",OTHER
Compact RPP              ,RPP - other,400A Moduclar Compa,OTHER
CTD                      ,OTHER,Catalog # CTD9395,OTHER
DIS72183                 ,OTHER,"EATON,PXM1300,DISP ",OTHER
DOC58301                 ,OTHER,2nd Year Warranty f,OTHER
DOC58301                 ,OTHER,Level 1b for (2) PD,OTHER
DOR69487                 ,OTHER,"DOOR,INPUT,LEXAN   ",OTHER
ENC18018                 ,BUSWAY - Other,"ENCLOSURE, 400A, ST",OTHER
ENC73413                 ,OTHER,"STORAGE CABINET,BLA",OTHER
Extended Warranty        ,OTHER,2ND YEAR FOR (4) PD,OTHER
Extended Warranty        ,OTHER,2nd year extended w,OTHER
Extended Warranty        ,OTHER,1 Year Extended War,OTHER
Extended Warranty        ,OTHER,2ND YR Extended War,OTHER
Extended Warranty        ,OTHER,1 YR EW ,OTHER
Extended Warranty        ,OTHER,QTS 2 years        ,OTHER
Extended Warranty        ,OTHER,1 YR EW of 8 Ph2PDU,OTHER
Extended Warranty        ,OTHER,2ND year warranty  ,OTHER
Extended Warranty        ,OTHER,(1) year extended f,OTHER
Extended Warranty        ,OTHER,Type Level         ,OTHER
Extended Warranty        ,OTHER,2nd YR EW ,OTHER
Extended Warranty        ,OTHER,1 YR Extended Warra,OTHER
Extended Warranty        ,OTHER,2nd year only      ,OTHER
Extended Warranty        ,OTHER,Extended (1) year w,OTHER
Extended Warranty        ,OTHER,2 years            ,OTHER
Extended Warranty        ,OTHER,2ND YEAR WARRANTY F,OTHER
Extended Warranty        ,OTHER,2nd year           ,OTHER
Extended Warranty        ,OTHER,2nd year EW        ,OTHER
Extended Warranty        ,OTHER,1 YR EW for 6 PH2PD,OTHER
Extended Warranty        ,OTHER,1 YR EW of 6 PP2 PD,OTHER
Extended Warranty        ,OTHER,2 Year Extended War,OTHER
Extended Warranty        ,OTHER,1 YR EW of 6 PH2PDU,OTHER
Extended Warranty        ,OTHER,One extended warran,OTHER
Extended Warranty        ,OTHER,1 YR EW of 6 STS   ,OTHER
Extended Warranty        ,OTHER,1 YR Warranty      ,OTHER
Extended Warranty        ,OTHER,(1) year extended w,OTHER
Factory Witness Testing  ,PDU - other,Factory Witness Tes,OTHER
FAS-12-11017-11          ,OTHER,SOUTHCO-12-11017-11,OTHER
FAS-121120511            ,OTHER,SOUTHCO-SLOTTED-STU,OTHER
FAS-12-6-1               ,OTHER,SOUTHCO RETAINER   ,OTHER
FAS-85-46-10141          ,OTHER,SOUTHCO-85-46-101-4,OTHER
Flex 4 Hour 7x24         ,OTHER,XX4NXXX-1100,OTHER
Floorskirt               ,PDU - other,Solid floorskirt fo,OTHER
Floorstand               ,PDU - other,"24"" PDU Floorstand",OTHER
Floorstand               ,PDU - other,Qty(2) STS-Front HO,OTHER
Floorstand               ,PDU - other,STS Rear Panels ,OTHER
Floorstand               ,PDU - other,44-52 Adjustable He,OTHER
Floorstand               ,PDU - other,"48"" High Adjustable",OTHER
Floorstand               ,PDU - other,"24"" Floorstand for ",OTHER
Floorstand               ,SBR FRONT - other,Floorstand for STS,OTHER
FLP12254                 ,OTHER,SQD-NF BRANCH BREAK,OTHER
FLP12254                 ,RPP - other,SQD-NF BRANCH BREAK,OTHER
FREIGHT                  ,OTHER,FREIGHT            ,OTHER
FREIGHT                  ,OTHER,FREIGHT FOR (6) PDU,OTHER
FREIGHT                  ,OTHER,FREIGHT NOT INCLUDE,OTHER
Freight Battery          ,OTHER,Freight Included,OTHER
Freight Equipment        ,OTHER,Freight Included,OTHER
Freight Included         ,OTHER,Freight Included   ,OTHER
Freight Included         ,OTHER,1 shipment from Ric,OTHER
Freight Included         ,OTHER,"FOB Jobsite, Dock-t",OTHER
Freight Included         ,OTHER,Freight Included PD,OTHER
Freight Included         ,OTHER,1 shipment of PDUs ,OTHER
Freight Job Site         ,OTHER,Freight Included,OTHER
Freight Not Included     ,OTHER,Prepay & Add       ,OTHER
Freight Not Included     ,OTHER,Prepay & Add      ,OTHER
Freight Not Included     ,OTHER,Freight Not Include,OTHER
Freight Not Included     ,OTHER,Prepay & Add     ,OTHER
Freight Not Included     ,OTHER,Prepay & Add Attn:,OTHER
Freight Not Included     ,OTHER,Prepay and add     ,OTHER
Freight Not Included     ,OTHER,Prepay & Add    ,OTHER
FUS00001                 ,OTHER,"UL,HLDR,FA,2.5A,600",OTHER
FUS07888                 ,OTHER,"HLDR,MIDGET/DIN,CHM",OTHER
FUS20003                 ,OTHER,"UL,HLDR,FA,1A,600V ",OTHER
FUS57263                 ,OTHER,"Midget,TD,5A,500V  ",OTHER
FUS57269                 ,OTHER,"Midget,HLDR,TD,3A,6",OTHER
FUS57505                 ,OTHER,"Midget,HLDR,TD,0.5A",OTHER
FUS57508                 ,OTHER,"UL,HLDR,FA,3A,600V ",OTHER
HIN19886-BK              ,OTHER,"HIN,ADJ TORQ,POSITI",OTHER
HIN19886-BK              ,OTHER,"ADJ-TORQ,DOR,POS CO",OTHER
HNS0508                  ,BUSWAY - Other,HAR-PORT RJ45 Cat.6,OTHER
HNS0508                  ,OTHER,HAR-PORT RJ45 Cat.6,OTHER
HNS57024                 ,OTHER,"PH2,SUBFEED 4CB HAR",OTHER
HPW-TOOL KIT             ,BUSWAY - Other,HPW-TOOL KIT-160-40,OTHER
HPW-TOOL KIT             ,BUSWAY - Other,HPW-TOOLKIT-160-400,OTHER
HPW-TOOL KIT             ,BUSWAY - Other,TOOL KIT           ,OTHER
IND56561                 ,Spare Parts,"LED,RED,22MM,120V,2",OTHER
IND56562                 ,Spare Parts,"LED,GRN,22MM,120V,2",OTHER
IND56563                 ,Spare Parts,"LED,YEL,22MM,120V,2",OTHER
IND56564                 ,Spare Parts,"LED,BLU,22MM,120V,2",OTHER
IND56565                 ,Spare Parts,"LED,WH,22MM,120V,24",OTHER
INS73213                 ,OTHER,GLASTIC PROTECTION ,OTHER
INS73217                 ,OTHER,GLASTIC PROTECTION ,OTHER
"JCOMM BOX, 2 PANEL BOARD ",Upgrade,"JCOMM BOX, 2 PANEL ",OTHER
"JCOMM BOX, 3 PANEL BOARD ",Upgrade,"JCOMM BOX, 3 PANEL ",OTHER
KNB21356                 ,OTHER,"KNOB,1/4-20X1/2""STU",OTHER
LAB20535                 ,OTHER,84P SQD PANELBOARD ,OTHER
LAB21055                 ,OTHER,84P SQD PANELBOARD ,OTHER
LAB57313                 ,OTHER,LABEL PWRWAVE BUS S,OTHER
Labor                    ,Labor,Training          ,OTHER
